"idDrink","strDrink","strDrinkAlternate","strDrinkES","strDrinkDE","strDrinkFR","strDrinkZH-HANS","strDrinkZH-HANT","strTags","strVideo","strCategory","strIBA","strAlcoholic","strGlass","strInstructions","strInstructionsES","strInstructionsDE","strInstructionsFR","strInstructionsZH-HANS","strInstructionsZH-HANT","strDrinkThumb","strIngredient1","strIngredient2","strIngredient3","strIngredient4","strIngredient5","strIngredient6","strIngredient7","strIngredient8","strIngredient9","strIngredient10","strIngredient11","strIngredient12","strIngredient13","strIngredient14","strIngredient15","strMeasure1","strMeasure2","strMeasure3","strMeasure4","strMeasure5","strMeasure6","strMeasure7","strMeasure8","strMeasure9","strMeasure10","strMeasure11","strMeasure12","strMeasure13","strMeasure14","strMeasure15","strCreativeCommonsConfirmed","dateModified"
"15346","155 Belmont",NA,NA,NA,NA,NA,NA,NA,NA,"Cocktail",NA,"Alcoholic","White wine glass","Blend with ice. Serve in a wine glass. Garnish with carrot.",NA,"Mit Eis vermischen. In einem Weinglas servieren. Mit Karotte garnieren.",NA,NA,NA,"https://www.thecocktaildb.com/images/media/drink/yqvvqs1475667388.jpg","Dark rum","Light rum","Vodka","Orange juice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1 shot ","2 shots ","1 shot ","1 shot ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","2016-10-05 12:36:28"
"15395","1-900-FUK-MEUP",NA,NA,NA,NA,NA,NA,NA,NA,"Shot",NA,"Alcoholic","Old-fashioned glass","Shake ingredients in a mixing tin filled with ice cubes. Strain into a rocks glass.",NA,"Die Zutaten in einem mit Eiswürfeln gefüllten Mischgefäß schütteln. In ein Rocks Glas abseihen.",NA,NA,NA,"https://www.thecocktaildb.com/images/media/drink/uxywyw1468877224.jpg","Absolut Kurant","Grand Marnier","Chambord raspberry liqueur","Midori melon liqueur","Malibu rum","Amaretto","Cranberry juice","Pineapple juice",NA,NA,NA,NA,NA,NA,NA,"1/2 oz ","1/4 oz ","1/4 oz ","1/4 oz ","1/4 oz ","1/4 oz ","1/2 oz ","1/4 oz ",NA,NA,NA,NA,NA,NA,NA,"No","2016-07-18 22:27:04"
"15423","110 in the shade",NA,NA,NA,NA,NA,NA,NA,NA,"Beer",NA,"Alcoholic","Beer Glass","Drop shooter in glass. Fill with beer",NA,"Shooter tröpfchenweise in ein Glas geben. Mit Bier füllen.",NA,NA,NA,"https://www.thecocktaildb.com/images/media/drink/xxyywq1454511117.jpg","Lager","Tequila",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"16 oz ","1.5 oz ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","2016-02-03 14:51:57"
"14588","151 Florida Bushwacker",NA,NA,NA,NA,NA,NA,NA,NA,"Milk / Float / Shake",NA,"Alcoholic","Beer mug","Combine all ingredients. Blend until smooth. Garnish with chocolate shavings if desired.",NA,"Alle Zutaten vermengen. Mischen, bis alles glatt ist. Auf Wunsch mit Schokoladenraspeln garnieren.",NA,NA,NA,"https://www.thecocktaildb.com/images/media/drink/rvwrvv1468877323.jpg","Malibu rum","Light rum","151 proof rum","Dark Creme de Cacao","Cointreau","Milk","Coconut liqueur","Vanilla ice-cream",NA,NA,NA,NA,NA,NA,NA,"1/2 oz ","1/2 oz ","1/2 oz Bacardi ","1 oz ","1 oz ","3 oz ","1 oz ","1 cup ",NA,NA,NA,NA,NA,NA,NA,"No","2016-07-18 22:28:43"
"15288","252",NA,NA,NA,NA,NA,NA,NA,NA,"Shot",NA,"Alcoholic","Shot glass","Add both ingredients to shot glass, shoot, and get drunk quick",NA,"Beide Zutaten in ein Schnapsglas geben.",NA,NA,NA,"https://www.thecocktaildb.com/images/media/drink/rtpxqw1468877562.jpg","151 proof rum","Wild Turkey",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/2 shot Bacardi ","1/2 shot ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","2016-07-18 22:32:42"
"17060","24k nightmare",NA,NA,NA,NA,NA,NA,NA,NA,"Shot",NA,"Alcoholic","Shot glass","Add over ice,shake and pour.",NA,"Über das Eis geben, schütteln und eingiessen.",NA,NA,NA,"https://www.thecocktaildb.com/images/media/drink/yyrwty1468877498.jpg","Goldschlager","Jägermeister","Rumple Minze","151 proof rum",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/2 oz ","1/2 oz ","1/2 oz ","1/2 oz Bacardi ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","2016-07-18 22:31:38"
"13899","3 Wise Men",NA,NA,NA,NA,NA,NA,NA,NA,"Shot",NA,"Alcoholic","Collins glass","put them them in a glass... and slam it to tha head.",NA,"In ein Glas geben... und ab in den Schädel.",NA,NA,NA,"https://www.thecocktaildb.com/images/media/drink/wxqpyw1468877677.jpg","Jack Daniels","Johnnie Walker","Jim Beam",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/3 oz ","1/3 oz ","1/3 oz ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","2016-07-18 22:34:37"
"15300","3-Mile Long Island Iced Tea",NA,NA,NA,NA,NA,NA,NA,NA,"Ordinary Drink",NA,"Alcoholic","Collins Glass","Fill 14oz glass with ice and alcohol. Fill 2/3 glass with cola and remainder with sweet & sour. Top with dash of bitters and lemon wedge.",NA,"Füllen Sie ein 12 cl. Glas mit Eis und Alkohol. Füllen Sie 2/3 des Glases mit Cola und den Rest mit Süß-Sauer. Mit einem Schuss Bitter und Zitronenkeil garnieren.",NA,NA,NA,"https://www.thecocktaildb.com/images/media/drink/rrtssw1472668972.jpg","Gin","Light rum","Tequila","Triple sec","Vodka","Coca-Cola","Sweet and sour","Bitters","Lemon",NA,NA,NA,NA,NA,NA,"1/2 oz ","1/2 oz ","1/2 oz ","1/2 oz ","1/2 oz ",NA,"1-2 dash ","1 wedge ",NA,NA,NA,NA,NA,NA,NA,"No","2016-08-31 19:42:52"
"13581","410 Gone",NA,NA,NA,NA,NA,NA,NA,NA,"Ordinary Drink",NA,"Alcoholic","Collins Glass","",NA,"",NA,NA,NA,"https://www.thecocktaildb.com/images/media/drink/xtuyqv1472669026.jpg","Peach Vodka","Coca-Cola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2-3 oz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","2016-08-31 19:43:46"
"14598","50/50",NA,NA,NA,NA,NA,NA,NA,NA,"Ordinary Drink",NA,"Alcoholic","Collins Glass","fill glass with crushed ice. Add vodka. Add a splash of grand-marnier. Fill with o.j.",NA,"Glas mit zerstoßenem Eis füllen. Füge Wodka hinzu. Füge einen Spritzer Grand-Marnier hinzu. Füllen Sie mit o.j.",NA,NA,NA,"https://www.thecocktaildb.com/images/media/drink/wwpyvr1461919316.jpg","Vanilla vodka","Grand Marnier","Orange juice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2 1/2 oz ","1 splash ","Fill with ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","2016-04-29 09:41:56"
"17105","501 Blue",NA,NA,NA,NA,NA,NA,NA,NA,"Ordinary Drink",NA,"Alcoholic","Collins Glass","Mix equal amounts into a glass with ice.",NA,"Mische gleiche Mengen in ein Glas mit Eis.",NA,NA,NA,"https://www.thecocktaildb.com/images/media/drink/ywxwqs1461867097.jpg","Blue Curacao","Blueberry schnapps","Vodka","Sour mix","7-Up",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","2016-04-28 19:11:37"
"13940","69 Special",NA,NA,NA,NA,NA,NA,NA,NA,"Ordinary Drink",NA,"Alcoholic","Collins Glass","Pour 2 oz. gin. Add 4 oz. 7-up. Add Lemon Juice for flavor. If you are weak, top up glass with more 7-Up.",NA,"Gießen Sie 6 cl. Gin. Füge 12 cl. 7-up hinzu. Füge Zitronensaft für den Geschmack hinzu. Wenn Sie zu schwach sind, füllen Sie das Glas mit mehr 7-Up auf.",NA,NA,NA,"https://www.thecocktaildb.com/images/media/drink/vqyxqx1472669095.jpg","Gin","7-Up","Lemon juice",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"2 oz dry ","4 oz ","0.75 oz ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","2016-08-31 19:44:55"
"14229","747",NA,NA,NA,NA,NA,NA,NA,NA,"Shot",NA,"Alcoholic","Shot glass","pour kaluha, then Baileys, then Frangelico not chilled and not layered -- SERVE!!!",NA,"Gießen Sie kaluha, dann Baileys, dann Frangelico nicht gekühlt und nicht geschichtet -- SERVE!!!!!!!!",NA,NA,NA,"https://www.thecocktaildb.com/images/media/drink/xxsxqy1472668106.jpg","Kahlua","Baileys irish cream","Frangelico",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"1/3 part ","1/3 part ","1/3 part ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"No","2016-08-31 19:28:26"
"178318","747 Drink",NA,NA,NA,NA,NA,NA,NA,NA,"Cocktail",NA,"Alcoholic","Highball glass","Fill a Collins glass with ice.
Pour in vodka, lime cordial, and cranberry juice.
Fill up with Sprite.
Garnish with a Lime wheel or some cranberries",NA,NA,NA,NA,NA,"https://www.thecocktaildb.com/images/media/drink/i9suxb1582474926.jpg","Vodka","Roses sweetened lime juice","Cranberry Juice","Sprite","","","",NA,NA,NA,NA,NA,NA,NA,NA,"1 oz","1 oz","1 oz","Top","","","",NA,NA,NA,NA,NA,NA,NA,NA,"Yes",NA
